Movie Title,Time,Genre,Directors,Writers,Actors,Rating,Number of Ratings
Cinema Paradiso,"
                155 min
",Drama,Giuseppe Tornatore,Giuseppe Tornatore; Giuseppe Tornatore,Philippe Noiret; Enzo Cannavale; Antonella Attili,8.4,"79,282"
Once Upon a Time in America,"
                229 min
",Crime; Drama,Sergio Leone,Harry Grey; Leonardo Benvenuti,Robert De Niro; James Woods; Elizabeth McGovern,8.4,"126,253"
The Lion King,"
                89 min
",Animation; Adventure; Drama,Roger Allers; Rob Minkoff,Irene Mecchi; Jonathan Roberts,Matthew Broderick; Jeremy Irons; James Earl Jones,8.4,"304,099"
Star Wars: Episode VI - Return of the Jedi,"
                134 min
",Action; Adventure; Fantasy,Richard Marquand,Lawrence Kasdan; George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,8.4,"353,688"
Chinatown,"
                130 min
",Crime; Drama; Mystery,Roman Polanski,Robert Towne,Jack Nicholson; Faye Dunaway; John Huston,8.4,"128,289"
L.A. Confidential,"
                138 min
",Crime; Drama; Mystery,Curtis Hanson,James Ellroy; Brian Helgeland,Kevin Spacey; Russell Crowe; Guy Pearce,8.4,"258,829"
Full Metal Jacket,"
                116 min
",Drama; War,Stanley Kubrick,Gustav Hasford; Stanley Kubrick,Matthew Modine; R. Lee Ermey; Vincent D'Onofrio,8.4,"264,934"
Braveheart,"
                177 min
",Action; Biography; Drama,Mel Gibson,Randall Wallace,Mel Gibson; Sophie Marceau; Patrick McGoohan,8.4,"416,763"
Monty Python and the Holy Grail,"
                91 min
",Adventure; Comedy; Fantasy,Terry Gilliam; Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Eric Idle,8.4,"235,456"
Oldeuboi,"
                120 min
",Drama; Mystery; Thriller,Chan-wook Park,Garon Tsuchiya; Nobuaki Minegishi,Min-sik Choi; Ji-tae Yu; Hye-jeong Kang,8.4,"184,227"
Singin' in the Rain,"
                103 min
",Comedy; Musical; Romance,Stanley Donen; Gene Kelly,Adolph Green; Betty Comden,Gene Kelly; Donald O'Connor; Debbie Reynolds,8.4,"87,164"
Some Like It Hot,"
                120 min
",Comedy,Billy Wilder,Billy Wilder; I.A.L. Diamond,Marilyn Monroe; Tony Curtis; Jack Lemmon,8.4,"105,647"
Amadeus,"
                160 min
",Biography; Drama; Music,Milos Forman,Peter Shaffer; Peter Shaffer,F. Murray Abraham; Tom Hulce; Elizabeth Berridge,8.4,"159,259"
Metropolis,"
                153 min
",Drama; Sci-Fi,Fritz Lang,Thea von Harbou; Thea von Harbou,Brigitte Helm; Alfred Abel; Gustav Frhlich,8.4,"65,442"
Bicycle Thieves,"
                93 min
",Crime; Drama,Vittorio De Sica,Luigi Bartolini; Cesare Zavattini,Lamberto Maggiorani; Enzo Staiola; Lianella Carell,8.4,"49,044"
Rashomon,"
                88 min
",Crime; Drama,Akira Kurosawa,Rynosuke Akutagawa; Akira Kurosawa,Toshir Mifune; Machiko Ky; Masayuki Mori,8.4,"60,886"
Princess Mononoke,"
                134 min
",Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki,Yji Matsuda; Yuriko Ishida; Yko Tanaka,8.4,"116,288"
2001: A Space Odyssey,"
                141 min
",Adventure; Mystery; Sci-Fi,Stanley Kubrick,Stanley Kubrick; Arthur C. Clarke,Keir Dullea; Gary Lockwood; William Sylvester,8.4,"241,838"
Unforgiven,"
                131 min
",Western,Clint Eastwood,David Webb Peoples,Clint Eastwood; Gene Hackman; Morgan Freeman,8.3,"166,019"
All About Eve,"
                138 min
",Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis; Anne Baxter; George Sanders,8.4,"50,919"
The Apartment,"
                125 min
",Comedy; Drama; Romance,Billy Wilder,Billy Wilder; I.A.L. Diamond,Jack Lemmon; Shirley MacLaine; Fred MacMurray,8.4,"61,292"
The Sting,"
                129 min
",Comedy; Crime; Drama,George Roy Hill,David S. Ward,Paul Newman; Robert Redford; Robert Shaw,8.4,"103,025"
Indiana Jones and the Last Crusade,"
                127 min
",Action; Adventure; Comedy,Steven Spielberg,Jeffrey Boam; George Lucas,Harrison Ford; Sean Connery; Alison Doody,8.3,"292,395"
Raging Bull,"
                129 min
",Biography; Drama; Sport,Martin Scorsese,Jake LaMotta; Joseph Carter,Robert De Niro; Cathy Moriarty; Joe Pesci,8.3,"141,623"
The Bridge on the River Kwai,"
                161 min
",Adventure; Drama; History,David Lean,Pierre Boulle,William Holden; Alec Guinness; Jack Hawkins,8.3,"90,506"
Witness for the Prosecution,"
                116 min
",Drama; Mystery,Billy Wilder,Agatha Christie; Billy Wilder,Tyrone Power; Marlene Dietrich; Charles Laughton,8.4,"30,840"
Die Hard,"
                131 min
",Action; Thriller,John McTiernan,Roderick Thorp; Jeb Stuart,Bruce Willis; Alan Rickman; Bonnie Bedelia,8.3,"339,653"
Grave of the Fireflies,"
                89 min
",Animation; Drama; War,Isao Takahata,Akiyuki Nosaka; Isao Takahata,Tsutomu Tatsumi; Ayano Shiraishi; Akemi Yamaguchi,8.4,"63,697"
Batman Begins,"
                140 min
",Action; Adventure; Crime,Christopher Nolan,Bob Kane; David S. Goyer,Christian Bale; Michael Caine; Ken Watanabe,8.3,"522,921"
Jodaeiye Nader az Simin,"
                123 min
",Drama,Asghar Farhadi,Asghar Farhadi,Payman Maadi; Leila Hatami; Sareh Bayat,8.5,"76,151"
El laberinto del fauno,"
                118 min
",Drama; Fantasy; War,Guillermo del Toro,Guillermo del Toro,Ivana Baquero; Ariadna Gil; Sergi Lpez,8.3,"271,774"
Downfall,"
                156 min
",Biography; Drama; History,Oliver Hirschbiegel,Bernd Eichinger; Joachim Fest,Bruno Ganz; Alexandra Maria Lara; Ulrich Matthes,8.3,"145,837"
Yojimbo,"
                110 min
",Action; Adventure,Akira Kurosawa,Akira Kurosawa; Akira Kurosawa,Toshir Mifune; Eijir Tno; Tatsuya Nakadai,8.4,"44,223"
For a Few Dollars More,"
                132 min
",Western,Sergio Leone,Sergio Leone; Fulvio Morsella,Clint Eastwood; Lee Van Cleef; Gian Maria Volont,8.3,"81,751"
Snatch.,"
                102 min
",Crime; Thriller,Guy Ritchie,Guy Ritchie,Jason Statham; Brad Pitt; Benicio Del Toro,8.3,"335,295"
The Great Escape,"
                172 min
",Adventure; Drama; History,John Sturges,Paul Brickhill; James Clavell,Steve McQueen; James Garner; Richard Attenborough,8.3,"97,081"
Inglourious Basterds,"
                153 min
",Adventure; Drama; War,Quentin Tarantino,Quentin Tarantino,Brad Pitt; Diane Kruger; Eli Roth,8.3,"420,583"
Mr. Smith Goes to Washington,"
                129 min
",Drama,Frank Capra,Sidney Buchman; Lewis R. Foster,James Stewart; Jean Arthur; Claude Rains,8.3,"48,643"
Up,"
                96 min
",Animation; Adventure; Comedy,Pete Docter; Bob Peterson,Pete Docter; Bob Peterson,Edward Asner; Jordan Nagai; John Ratzenberger,8.3,"308,012"
On the Waterfront,"
                108 min
",Crime; Drama,Elia Kazan,Budd Schulberg; Budd Schulberg,Marlon Brando; Karl Malden; Lee J. Cobb,8.3,"60,893"
The Elephant Man,"
                124 min
",Biography; Drama,David Lynch,Christopher De Vore; Eric Bergren,Anthony Hopkins; John Hurt; Anne Bancroft,8.3,"96,968"
Toy Story,"
                81 min
",Animation; Adventure; Comedy,John Lasseter,John Lasseter; Pete Docter,Tom Hanks; Tim Allen; Don Rickles,8.3,"310,890"
The Seventh Seal,"
                96 min
",Drama; Fantasy,Ingmar Bergman,Ingmar Bergman; Ingmar Bergman,Max von Sydow; Gunnar Bjrnstrand; Bengt Ekerot,8.3,"64,768"
Heat,"
                170 min
",Action; Crime; Drama,Michael Mann,Michael Mann,Al Pacino; Robert De Niro; Val Kilmer,8.3,"254,907"
The General,"
                107 min
",Action; Adventure; Comedy,Clyde Bruckman; Buster Keaton,Buster Keaton; Clyde Bruckman,Buster Keaton; Marion Mack; Glen Cavender,8.3,"30,544"
The Maltese Falcon,"
                100 min
",Crime; Drama; Film-Noir,John Huston,John Huston; Dashiell Hammett,Humphrey Bogart; Mary Astor; Gladys George,8.3,"72,498"
Blade Runner,"
                117 min
",Drama; Sci-Fi; Thriller,Ridley Scott,Hampton Fancher; David Webb Peoples,Harrison Ford; Rutger Hauer; Sean Young,8.3,"288,611"
Rebecca,"
                130 min
",Drama; Mystery,Alfred Hitchcock,Daphne Du Maurier; Robert E. Sherwood,Laurence Olivier; Joan Fontaine; George Sanders,8.3,"53,571"
Gran Torino,"
                116 min
",Drama,Clint Eastwood,Nick Schenk; Dave Johannson,Clint Eastwood; Bee Vang; Christopher Carley,8.3,"305,369"
Wild Strawberries,"
                91 min
",Drama,Ingmar Bergman,Ingmar Bergman,Victor Sjstrm; Bibi Andersson; Ingrid Thulin,8.3,"36,108"
Scarface,"
                170 min
",Crime; Drama; Thriller,Brian De Palma,Oliver Stone,Al Pacino; Michelle Pfeiffer; Steven Bauer,8.3,"293,773"
