City,Population,Murders and manslaughters,"Murders per 10,000 people",Forcible rapes,"Rapes per 10,000",Robberies,"Robberies per 10,000",Aggravated assaults,"Assaults per 10,000",Burglaries,"Burglaries per 10,000",Larceny-thefts,"Larceny-thefts per 10,000",Motor vehicle thefts,"Motor vehicle thefts per 10,000",Arsons,"Arsons per 10,000",Unemployment Aug 2010 (%),Unemployment Aug 2009 (%),Percent change
Orleans,6309.0,0,0,1,1.6,0,0,6,9.5,45,71.3,147,233,4,6.3,2,3.2,6.6,5.7,0.9
Oxford,13671.0,0,0,1,0.7,4,2.9,39,28.5,47,34.4,102,74.6,20,14.6,3,2.2,8.5,9.7,-1.2
Palmer,12891.0,0,0,1,0.8,1,0.8,35,27.2,67,52,105,81.5,10,7.8,3,2.3,9,8.9,0.1
Paxton,4546.0,0,0,0,0,1,2.2,2,4.4,10,22,17,37.4,0,0,0,0,8.3,8.1,0.2
Peabody,51846.0,1,0.2,9,1.7,22,4.2,112,21.6,171,33,1024,197.5,123,23.7,6,1.2,8.1,8.4,-0.3
Pembroke,18806.0,0,0,6,3.2,3,1.6,32,17,57,30.3,172,91.5,23,12.2,0,0,8.2,8.8,-0.6
Pepperell,11438.0,0,0,1,0.9,2,1.7,24,21,32,28,133,116.3,7,6.1,0,0,6.9,7.9,-1
Pittsfield,42597.0,0,0,53,12.4,16,3.8,229,53.8,374,87.8,672,157.8,59,13.9,6,1.4,8.4,8.3,0.1
Plainville,8388.0,0,0,0,0,1,1.2,8,9.5,24,28.6,87,103.7,7,8.3,2,2.4,9.8,10.5,-0.7
Plymouth,55608.0,0,0,4,0.7,14,2.5,69,12.4,195,35.1,769,138.3,31,5.6,4,0.7,8.2,9.1,-0.9
Princeton,3510.0,0,0,0,0,0,0,0,0,19,54.1,13,37,0,0,0,0,6.7,7.1,-0.4
Provincetown,3383.0,0,0,2,5.9,0,0,15,44.3,10,29.6,177,523.2,2,5.9,0,0,5.6,6.7,-1.1
Quincy,95061.0,2,0.2,15,1.6,105,11,225,23.7,598,62.9,1139,119.8,135,14.2,8,0.8,8.3,8.5,-0.2
Randolph,30068.0,0,0,7,2.3,22,7.3,121,40.2,138,45.9,547,181.9,71,23.6,1,0.3,9.9,9.6,0.3
Raynham,13893.0,0,0,9,6.5,6,4.3,6,4.3,84,60.5,337,242.6,34,24.5,1,0.7,8.5,9,-0.5
Reading,23055.0,0,0,0,0,3,1.3,10,4.3,44,19.1,214,92.8,7,3,0,0,6.2,7.4,-1.2
Rehoboth,11649.0,0,0,1,0.9,0,0,9,7.7,41,35.2,105,90.1,17,14.6,1,0.9,8.8,9.7,-0.9
Revere,56445.0,2,0.4,15,2.7,51,9,169,29.9,291,51.6,1063,188.3,240,42.5,2,0.4,8.3,8.6,-0.3
Rochester,5301.0,0,0,1,1.9,0,0,10,18.9,26,49,48,90.5,3,5.7,1,1.9,7.4,7.1,0.3
Rockland,17789.0,0,0,3,1.7,3,1.7,13,7.3,44,24.7,241,135.5,17,9.6,0,0,8.3,9,-0.7
Rockport,7615.0,0,0,4,5.3,0,0,6,7.9,6,7.9,15,19.7,2,2.6,1,1.3,6.5,7.8,-1.3
Rowley,5881.0,0,0,1,1.7,1,1.7,3,5.1,8,13.6,14,23.8,7,11.9,2,3.4,6.8,7.3,-0.5
Royalston,1396.0,0,0,0,0,0,0,2,14.3,6,43,6,43,0,0,0,0,10,11.5,-1.5
Rutland,8049.0,0,0,0,0,2,2.5,14,17.4,18,22.4,25,31.1,4,5,0,0,7.8,9.5,-1.7
Salem,41531.0,0,0,10,2.4,15,3.6,61,14.7,175,42.1,584,140.6,87,20.9,0,0,7.9,8.3,-0.4
Salisbury,8609.0,0,0,6,7,1,1.2,39,45.3,79,91.8,95,110.3,17,19.7,1,1.2,9.3,8.6,0.7
Sandwich,20258.0,0,0,1,0.5,3,1.5,22,10.9,90,44.4,253,124.9,8,3.9,4,2,6.4,6.6,-0.2
